#,Name (Original),Name,Team,Conference,Division,PF,Abbreviation,Name (Team),Year,Position,Qualified,G,PA,PA/G,Team G Played,Games Played %,PA/TG,AB,BIP,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,AVG,OBP,SLG,OPS,OPS+,Adj. OPS+,BABIP,ISO,RC,wOBA,wRAA,wRAA/PA,wRC,wRC/PA,wRC+
1,"Cooper
                                                                        Howell",Cooper Howell,Alton River Dragons,Western,South,1.06,ALT,Cooper Howell (ALT),So,IF,Yes,48,207,4.3,53,90.57%,3.91,169,132,38,0.18,43,33,7,1,2,26,25,12.10%,39,18.80%,66,31.90%,18,4,9,4,0,58,10,3,42,41,1.02,0.254,0.372,0.343,0.715,88,83,0.311,0.089,26.47,0.328,-3.12,-0.02,30.61,0.148,84.7
31,"Erik
                                                                        Broekemeier",Erik Broekemeier,Alton River Dragons,Western,South,1.06,ALT,Erik Broekemeier (ALT),Jr,IF,Yes,45,179,4,53,84.91%,3.38,153,119,30,0.17,50,31,12,1,6,40,18,10.10%,31,17.30%,55,30.70%,7,3,5,3,0,82,19,2,32,40,0.8,0.327,0.408,0.536,0.944,149,140,0.37,0.209,35.4,0.408,9.85,0.06,39.02,0.218,127.8
34,"Justin
                                                                        Santoyo",Justin Santoyo,Alton River Dragons,Western,South,1.06,ALT,Justin Santoyo (ALT),Jr,IF,Yes,46,182,4,53,86.79%,3.43,148,118,34,0.19,42,28,7,1,6,31,25,13.70%,26,14.30%,57,31.30%,5,2,7,2,0,69,14,3,42,34,1.24,0.284,0.407,0.466,0.873,130,123,0.305,0.182,30.69,0.386,6.56,0.04,36.22,0.199,116.1
3,"Eli
                                                                        Hill",Eli Hill,Alton River Dragons,Western,South,1.06,ALT,Eli Hill (ALT),Fr,OF,Yes,47,178,3.8,53,88.68%,3.36,139,102,29,0.16,38,26,6,2,4,20,33,18.50%,34,19.10%,71,39.90%,9,2,4,1,1,60,12,0,30,34,0.88,0.273,0.424,0.432,0.856,125,118,0.333,0.159,30.9,0.384,6.12,0.03,35.12,0.197,115.1
21,"Rj
                                                                        LaRocco Jr.",Rj LaRocco Jr.,Alton River Dragons,Western,South,1.06,ALT,Rj LaRocco Jr. (ALT),Sr,OF,No,35,134,3.8,53,66.04%,2.53,110,88,17,0.13,30,21,7,1,1,19,16,11.90%,23,17.20%,40,29.90%,3,4,5,2,1,42,9,1,29,27,1.07,0.273,0.383,0.382,0.765,101,96,0.33,0.109,17.36,0.345,0.06,0,21.89,0.163,94.3
20,"Cole
                                                                        Schrank",Cole Schrank,Alton River Dragons,Western,South,1.06,ALT,Cole Schrank (ALT),Jr,C,No,35,125,3.6,53,66.04%,2.36,106,71,12,0.1,29,21,3,2,3,20,17,13.60%,34,27.20%,54,43.20%,0,0,0,2,0,45,8,1,17,28,0.61,0.274,0.368,0.425,0.793,109,103,0.366,0.151,18.17,0.35,0.57,0,20.94,0.167,96.8
5,"Dane
                                                                        Stevenson",Dane Stevenson,Alton River Dragons,Western,South,1.06,ALT,Dane Stevenson (ALT),Jr,IF,No,34,121,3.6,53,64.15%,2.28,98,71,20,0.17,18,13,2,1,2,12,14,11.60%,27,22.30%,43,35.50%,10,2,6,2,1,28,5,0,14,37,0.38,0.184,0.317,0.286,0.603,59,55,0.225,0.102,11.89,0.283,-6.56,-0.05,13.16,0.109,60.7
99,"Joe
                                                                        Connolly",Joe Connolly,Alton River Dragons,Western,South,1.06,ALT,Joe Connolly (ALT),Fr,IF,No,25,114,4.6,53,47.17%,2.15,97,86,15,0.13,25,20,4,0,1,16,15,13.20%,11,9.60%,27,23.70%,15,5,1,1,0,32,5,0,33,22,1.5,0.258,0.36,0.33,0.69,82,77,0.279,0.072,14.05,0.316,-2.84,-0.02,15.73,0.138,78.7
13,"Jordan
                                                                        Aguallo",Jordan Aguallo,Alton River Dragons,Western,South,1.06,ALT,Jordan Aguallo (ALT),Jr,RHP,No,33,95,2.9,53,62.26%,1.79,84,69,22,0.23,22,16,5,0,1,10,7,7.40%,15,15.80%,23,24.20%,8,2,3,1,0,30,6,1,17,25,0.68,0.262,0.337,0.357,0.694,83,78,0.304,0.095,11.38,0.312,-2.68,-0.03,12.79,0.135,76.7
14,"Javi
                                                                        Alvarez",Javi Alvarez,Alton River Dragons,Western,South,1.06,ALT,Javi Alvarez (ALT),Fr,IF,No,31,109,3.5,53,58.49%,2.06,84,71,20,0.18,21,18,3,0,0,15,23,21.10%,13,11.90%,36,33.00%,12,2,2,0,0,24,3,2,30,13,2.31,0.25,0.422,0.286,0.708,86,81,0.296,0.036,14.16,0.341,-0.4,0,17.36,0.159,91.8
42,"Xian'en
                                                                        Zeng",Xian'en Zeng,Alton River Dragons,Western,South,1.06,ALT,Xian'en Zeng (ALT),Fr,IF,No,26,101,3.9,53,49.06%,1.91,74,60,14,0.14,15,13,1,0,1,10,17,16.80%,16,15.80%,34,33.70%,6,0,6,3,1,19,2,1,19,26,0.73,0.203,0.38,0.257,0.637,67,64,0.233,0.054,11.06,0.31,-3.08,-0.03,13.38,0.132,75.3
23,"Luke
                                                                        Melton",Luke Melton,Alton River Dragons,Western,South,1.06,ALT,Luke Melton (ALT),So,C,No,25,91,3.6,53,47.17%,1.72,71,50,17,0.19,19,12,4,1,2,11,18,19.80%,19,20.90%,39,42.90%,1,0,2,0,0,31,7,2,12,17,0.71,0.268,0.429,0.437,0.866,128,121,0.34,0.169,14.93,0.389,3.52,0.04,18.35,0.202,117.8
99,"Luke
                                                                        Parmentier",Luke Parmentier,Alton River Dragons,Western,South,1.06,ALT,Luke Parmentier (ALT),So,IF,No,17,67,3.9,53,32.08%,1.26,56,40,12,0.18,13,10,2,1,0,4,6,9.00%,16,23.90%,22,32.80%,4,0,5,0,0,17,3,2,13,13,1,0.232,0.358,0.304,0.662,74,70,0.325,0.072,7.2,0.31,-2.01,-0.03,8.91,0.133,75.6
99,"Diego
                                                                        Murillo",Diego Murillo,Alton River Dragons,Western,South,1.06,ALT,Diego Murillo (ALT),So,IF,No,17,56,3.3,53,32.08%,1.06,47,39,12,0.21,15,10,2,3,0,7,5,8.90%,9,16.10%,14,25.00%,4,0,3,1,0,23,5,0,10,14,0.71,0.319,0.411,0.489,0.9,137,129,0.385,0.17,11.37,0.391,2.26,0.04,11.38,0.203,118.7
99,"Bryer
                                                                        Arview",Bryer Arview,Alton River Dragons,Western,South,1.06,ALT,Bryer Arview (ALT),Fr,IF,No,12,32,2.7,53,22.64%,0.6,30,19,5,0.16,6,4,1,1,0,2,2,6.30%,11,34.40%,13,40.60%,4,0,0,0,0,9,2,0,6,6,1,0.2,0.25,0.3,0.55,45,42,0.316,0.1,2.9,0.245,-2.79,-0.09,2.43,0.076,40.5
26,"Zane
                                                                        Timon",Zane Timon,Alton River Dragons,Western,South,1.06,ALT,Zane Timon (ALT),Fr,C,No,9,35,3.9,53,16.98%,0.66,29,21,3,0.09,3,3,0,0,0,6,3,8.60%,10,28.60%,13,37.10%,0,0,1,2,0,3,0,1,7,10,0.7,0.103,0.2,0.103,0.303,-20,-19,0.143,0,0.87,0.156,-5.75,-0.16,-0.05,-0.001,-6.8
