#,Name (Original),Name,Team,PF,Conference,Division,Abbreviation,Name (Team),Year,Position,Team G Played,Qualified,G,GS,W,L,SV,CG,IP,AB,H,H/9,R,ER,BB,BB/9,K,K/9,K/BB,ERA,WHIP,FIP,E-F,ERA+,ERA-,WP,HBP,BK,SF,SH,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS
25,"Julian
                                                                        Minaya",Julian Minaya,Champion City Kings,0.956,Eastern,Northeast,CCY,Julian Minaya (CCY),Sr,RHP,56,Yes,12,12,3,2,0,0,60,221,51,7.65,31,27,36,5.4,66,9.9,1.83,4.05,1.45,5.63,-1.58,136,74,2,10,1,4,2,40,6,0,5,72,0.231,0.358,0.326,0.684
14,"Tristan
                                                                        Harley",Tristan Harley,Champion City Kings,0.956,Eastern,Northeast,CCY,Tristan Harley (CCY),So,RHP,56,Yes,13,10,1,5,1,0,57.67,234,68,10.61,38,33,22,3.43,56,8.74,2.55,5.15,1.56,4.92,0.23,107,93,4,7,0,3,0,49,13,2,4,97,0.291,0.365,0.415,0.779
27,"Joshua
                                                                        Mauney",Joshua Mauney,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Joshua Mauney (SPR),So,RHP,55,Yes,16,4,6,1,0,0,56.67,233,62,9.85,44,34,19,3.02,30,4.76,1.58,5.4,1.43,5.42,-0.02,99,101,3,2,0,3,0,47,8,3,4,88,0.266,0.323,0.378,0.701
25,"Trey
                                                                        Watson",Trey Watson,Jackson Rockabillys,0.871,Western,South,JAX,Trey Watson (JAX),Jr,RHP,55,Yes,9,9,6,1,0,0,56,217,48,7.71,22,20,16,2.57,44,7.07,2.75,3.21,1.14,4.7,-1.49,156,63,3,5,0,2,0,35,9,1,3,68,0.221,0.288,0.313,0.601
28,"Joe
                                                                        Tootle",Joe Tootle,Champion City Kings,0.956,Eastern,Northeast,CCY,Joe Tootle (CCY),Jr,RHP,56,Yes,14,7,3,4,2,0,53,210,62,10.53,40,35,22,3.74,44,7.47,2,5.94,1.58,5.49,0.45,93,108,2,4,2,6,0,40,17,0,5,94,0.295,0.364,0.448,0.811
22,"Zane
                                                                        Brown",Zane Brown,Full Count Rhythm,1.031,Eastern,Central,FCR,Zane Brown (FCR),Fr,RHP,55,Yes,9,9,5,3,0,1,52.33,193,42,7.22,17,16,8,1.38,54,9.29,6.75,2.75,0.96,3.76,-1.01,216,46,1,3,0,3,0,30,9,0,3,60,0.218,0.256,0.311,0.567
12,"Jorge
                                                                        Romero",Jorge Romero,Cape Catfish,1.049,Western,South,CGR,Jorge Romero (CGR),Jr,RHP,55,Yes,11,10,5,1,0,0,50.33,188,38,6.8,19,13,18,3.22,49,8.76,2.72,2.32,1.11,4.37,-2.05,260,38,4,9,2,2,1,28,9,0,1,50,0.202,0.3,0.266,0.565
26,"Bennett
                                                                        LaPalm",Bennett LaPalm,Champion City Kings,0.956,Eastern,Northeast,CCY,Bennett LaPalm (CCY),Fr,LHP,56,Yes,14,9,1,7,0,0,50,200,54,9.72,45,37,28,5.04,57,10.26,2.04,6.66,1.64,6.25,0.41,83,121,6,14,1,3,1,32,14,2,6,90,0.27,0.392,0.45,0.842
4,"Cole
                                                                        Lambird",Cole Lambird,Dubois County Bombers,0.908,Eastern,Central,DUB,Cole Lambird (DUB),Jr,LHP,54,Yes,12,11,2,6,0,0,49.67,212,65,11.78,39,31,10,1.81,35,6.34,3.5,5.62,1.51,4.93,0.69,93,107,4,4,0,2,0,47,14,0,4,91,0.307,0.346,0.429,0.776
9,"Mick
                                                                        Uebelhor",Mick Uebelhor,Dubois County Bombers,0.908,Eastern,Central,DUB,Mick Uebelhor (DUB),Fr,RHP,54,Yes,12,9,2,0,0,0,48.67,179,39,7.21,21,16,24,4.44,38,7.03,1.58,2.96,1.29,5.27,-2.31,176,56,5,6,0,1,1,31,5,1,2,52,0.218,0.329,0.291,0.619
34,"Gunnar
                                                                        Brown",Gunnar Brown,Danville Dans,0.869,Eastern,Central,DAN,Gunnar Brown (DAN),Jr,RHP,56,Yes,13,8,4,2,1,0,47.33,182,38,7.23,19,17,23,4.37,70,13.31,3.04,3.23,1.29,3.42,-0.19,155,63,3,3,0,0,0,32,5,0,1,46,0.209,0.308,0.253,0.56
